student_id,age,gender,major,GPA,course_load,avg_course_grade,attendance_rate,enrollment_status,lms_logins_past_month,avg_session_duration_minutes,assignment_submission_rate,forum_participation_count,video_completion_rate,risk_level
S001,24,Other,Computer Science,2.42,5,67.2,0.71,Graduated,32,33,0.7,8,0.74,High
S002,21,Male,Arts,3.73,6,64.4,0.84,Leave,29,53,0.91,13,0.85,Medium
S003,22,Male,Computer Science,2.8,3,95.3,0.89,Graduated,34,69,0.58,18,0.99,Medium
S004,24,Male,Arts,2.59,4,73.7,0.98,Graduated,22,18,0.91,6,0.72,Medium
S005,20,Other,Computer Science,2.3,4,87.4,0.95,Active,9,11,0.77,15,0.76,High
S006,25,Male,Engineering,2.53,4,61.0,0.81,Active,18,65,0.61,19,0.76,Medium
S007,22,Female,Engineering,2.04,3,87.6,0.91,Active,27,39,0.7,4,0.77,High
S008,22,Other,Computer Science,3.17,4,72.6,0.82,Active,22,31,0.99,9,0.76,Medium
S009,24,Other,Computer Science,3.68,6,62.2,0.82,Active,3,84,0.89,17,0.5,Medium
S010,19,Other,Engineering,3.1,4,84.4,0.65,Active,19,22,0.79,10,0.5,High
S011,20,Other,Arts,2.44,4,69.6,0.65,Leave,18,80,0.56,6,0.55,High
S012,24,Female,Engineering,2.07,6,75.5,0.81,Active,26,25,0.71,13,0.55,High
S013,20,Other,Arts,2.43,4,63.2,0.71,Graduated,33,54,0.63,19,0.85,High
S014,20,Other,Computer Science,2.83,6,65.9,0.61,Leave,3,74,0.54,17,0.6,High
S015,25,Male,Computer Science,3.52,4,71.9,0.89,Graduated,37,20,0.77,10,0.95,Low
S016,22,Other,Arts,2.38,6,63.6,0.61,Active,6,79,0.94,11,0.96,High
S017,21,Female,Computer Science,3.44,4,96.4,0.84,Active,6,29,0.84,17,0.99,Medium
S018,25,Female,Arts,3.73,6,60.2,0.82,Graduated,25,72,0.62,1,0.97,Medium
S019,25,Female,Business,2.91,3,79.4,0.99,Graduated,25,21,0.79,0,0.64,Medium
S020,20,Female,Engineering,3.64,6,64.9,0.79,Graduated,18,71,0.97,9,0.75,Medium
S021,23,Other,Business,3.11,4,72.3,0.63,Leave,8,51,0.86,0,0.59,High
S022,22,Other,Arts,3.27,4,97.0,0.82,Active,19,78,0.84,5,0.9,Medium
S023,19,Female,Engineering,3.05,5,66.5,0.94,Graduated,15,67,0.98,6,0.94,Low
S024,25,Female,Arts,2.93,6,98.6,1.0,Active,16,14,0.9,16,0.93,Medium
S025,21,Other,Engineering,2.47,3,68.2,0.77,Graduated,21,36,0.57,8,0.72,High
S026,23,Female,Engineering,2.61,6,89.7,0.73,Active,12,37,0.67,6,0.88,High
S027,23,Male,Engineering,2.58,6,81.9,0.96,Leave,11,35,0.98,16,0.55,Medium
S028,19,Female,Engineering,3.13,3,95.4,0.68,Active,9,58,0.74,2,0.52,High
S029,25,Female,Arts,2.24,6,82.2,0.85,Graduated,0,30,0.56,15,0.88,High
S030,21,Male,Engineering,3.83,3,81.4,0.76,Active,31,10,0.73,4,0.71,Medium
